name_in_data,alternate_name
Zahur Ahmed Chowdhury Stadium,ZAC Stadium
Khan Shaheb Osman Ali Stadium,KSOA Stadium
Nehru Stadium (Chennai),Nehru Stadium
Rajiv Gandhi International Cricket Stadium,Dehradun Cricket Stadium
Himachal Pradesh Cricket Association Stadium,HPCA Stadium
Saurashtra Cricket Association Stadium,Khanderi Cricket Stadium
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Ekana Cricket Stadium
KD Singh "Babu" Stadium,KD Singh Stadium
Punjab Cricket Association IS Bindra Stadium,IS Bindra Stadium
Vidarbha Cricket Association Ground,VCA Ground
Vidarbha Cricket Association Stadium,VCA Stadium
Maharashtra Cricket Association Stadium,MCA Stadium
Jinnah Stadium (Gujwranwala),Jinnah Stadium
National Stadium (Karachi),National Stadium
Jinnah Stadium (Sialkot),Jinnah Stadium
National Cricket Stadium (Grenada),National Cricket Stadium
JSCA International Stadium Complex,JSCA Stadium
Dr YS Rajasekhara Reddy Cricket Stadium,ACA-VDCA Stadium
Pallekele International Cricket Stadium,Pallekele Cricket Stadium
Dubai International Cricket Stadium,Dubai Cricket Stadium
Daren Sammy National Cricket Stadium,Daren Sammy Stadium
